time,left effort,right effort,x accel,y accel,z gyro,left line,right line
251.899,0,0,21.53401,-20.41512,3764.144,120,126
252.172,0,0,2.99001,2.032885,54.14365,128,122
252.448,0,0,4.942011,-12.11911,54.14365,128,124
252.709,0,0,12.75001,-7.239115,-15.85635,128,120
252.983,0,0,5.918011,-15.53512,-15.85635,128,120
253.241,0,0,5.43001,-20.90311,-295.8564,122,132
253.516,0,0,3.47801,-7.727115,194.1436,130,122
253.79,0,0,5.43001,-1.871115,-225.8564,120,132
254.053,0,0,10.79801,-8.215115,544.1437,130,122
254.319,0,0,7.38201,-8.215115,54.14365,128,120
254.575,0,0,-6.28199,-11.63111,-435.8564,130,122
254.845,0,0,22.02201,-14.55912,-85.85635,126,120
255.193,0,0,4.942011,-0.407115,-85.85635,128,122
255.529,0,0,8.358009,-4.311115,-85.85635,120,124
255.802,0,0,11.77401,-7.239115,-155.8564,128,120
256.077,0,0,2.99001,-4.311115,-85.85635,124,120
256.404,0,0,2.99001,-5.775115,54.14365,130,122
256.663,0,0,28.85401,2.520885,1664.144,130,122
256.919,0,0,9.82201,-1.871115,54.14365,128,120
257.172,0,0,4.45401,-7.239115,-85.85635,120,130
257.428,0,0,6.894011,-0.8951149,-225.8564,130,122
257.756,0,0,-29.21799,4.960885,-15.85635,134,120
258.025,0,0,17.63001,-7.727115,614.1437,134,122
258.351,0,0,7.87001,-11.14312,124.1436,136,116
258.62,0,0,2.01401,-24.80711,3134.144,138,116
258.876,0,0,14.70201,-13.58311,-15.85635,140,122
259.148,0,0,16.65401,-6.263115,54.14365,136,120
259.424,0,0,16.16601,-12.11911,194.1436,132,116
259.688,0,0,13.72601,-5.775115,-505.8564,134,122
259.962,0,0,0.06200981,-2.359115,-85.85635,120,134
260.218,0,0,3.47801,-7.727115,-85.85635,130,120
260.49,0,0,4.45401,-5.287115,-85.85635,134,114
260.836,0,0,6.40601,-4.311115,194.1436,138,122
